               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025969,            0.013233,            0.023745,             0.67518,             0.61094,             0.66574,             0.53611,            0.021741,           0.0075132,             0.03861,            0.006436,            0.006436,            0.006436
                  38,            0.025393,            0.012851,            0.022687,              0.7008,             0.62997,             0.69868,             0.56218,            0.020771,           0.0071868,            0.036979,            0.006337,            0.006337,            0.006337
                  39,            0.025894,            0.012578,            0.022012,             0.65537,             0.66681,              0.6997,             0.55809,            0.021815,           0.0072761,            0.037024,            0.006238,            0.006238,            0.006238
                  40,            0.025424,            0.012827,            0.021672,             0.72439,             0.64609,             0.71407,             0.57315,            0.020886,             0.00718,            0.036662,            0.006139,            0.006139,            0.006139
                  41,            0.025266,            0.012459,            0.020937,             0.73433,             0.57182,             0.67327,             0.54969,            0.020815,           0.0073932,            0.037728,             0.00604,             0.00604,             0.00604
                  42,            0.024972,            0.012561,            0.020472,             0.69598,             0.61546,             0.69188,             0.56648,            0.020591,           0.0072376,            0.038059,            0.005941,            0.005941,            0.005941
                  43,            0.024674,            0.012511,            0.019751,             0.73086,             0.62518,             0.71118,              0.5788,            0.020957,           0.0072883,            0.036277,            0.005842,            0.005842,            0.005842
                  44,            0.024238,            0.012243,            0.019401,             0.77356,             0.63932,             0.74443,             0.60095,            0.020412,           0.0070946,            0.034894,            0.005743,            0.005743,            0.005743
                  45,            0.024519,            0.012194,            0.019054,             0.74688,             0.64067,             0.72417,             0.58654,            0.020473,           0.0070715,            0.032714,            0.005644,            0.005644,            0.005644
                  46,            0.024581,            0.012163,            0.017676,             0.77227,              0.6226,             0.72125,             0.58656,            0.020581,            0.007186,            0.035666,            0.005545,            0.005545,            0.005545
                  47,             0.02431,            0.012103,            0.018681,             0.77485,             0.66434,             0.75117,             0.61936,            0.019797,           0.0069595,            0.033804,            0.005446,            0.005446,            0.005446
